model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8
H+L,1,0.0,0.6514807618485612,0.716,0.664,0.656,0.674,0.638
H+L,2,0.0,0.5113377591948918,0.829,0.69,0.67,0.682,0.658
H+L,3,0.0,0.4178976988291566,0.857,0.691,0.666,0.67,0.662
H+L,4,0.0,0.37672988222309217,0.87,0.693,0.687,0.704,0.67
H+L,5,0.0,0.34357765705824395,0.874,0.72,0.695,0.706,0.684
H+L,6,0.0,0.3272914873772215,0.889,0.698,0.694,0.686,0.702
H+L,7,0.0,0.31865561762844097,0.901,0.74,0.697,0.704,0.69
H+L,8,0.0,0.2956494033320204,0.897,0.731,0.706,0.71,0.702
H+L,9,0.0,0.29693572331836743,0.916,0.74,0.696,0.694,0.698
H+L,10,0.0,0.2761797196314294,0.904,0.728,0.712,0.7,0.724
H+L,11,0.0,0.26477237966298023,0.913,0.74,0.699,0.708,0.69
H+L,12,0.0,0.2680110748578043,0.928,0.732,0.694,0.688,0.7
H+L,13,0.0,0.24975414682325633,0.915,0.739,0.68,0.668,0.692
H+L,14,0.0,0.2407434708280535,0.934,0.744,0.684,0.666,0.702
H+L,15,0.0,0.24792189771185058,0.936,0.752,0.691,0.678,0.704
H+L,16,0.0,0.23448509674282322,0.927,0.756,0.687,0.67,0.704
H+L,17,0.0,0.23959083927323477,0.937,0.746,0.702,0.706,0.698
H+L,18,0.0,0.23250721322298673,0.93,0.745,0.687,0.68,0.694
H+L,19,0.0,0.22828981564948939,0.931,0.768,0.686,0.666,0.706
H+L,20,0.0,0.23660257700558496,0.933,0.736,0.672,0.68,0.664
H+L,21,0.0,0.23253134440616344,0.941,0.744,0.699,0.688,0.71
H+L,22,0.0,0.2217750360111774,0.941,0.762,0.706,0.7,0.712
H+L,23,0.0,0.22345614856194876,0.938,0.754,0.676,0.662,0.69
H+L,24,0.0,0.22213981887940526,0.936,0.755,0.713,0.688,0.738
H+L,25,0.0,0.2039286082153333,0.952,0.756,0.712,0.714,0.71
H+L,26,0.0,0.20435643534614964,0.946,0.757,0.695,0.68,0.71
H+L,27,0.0,0.19390674677336228,0.949,0.755,0.694,0.676,0.712
H+L,28,0.0,0.1973921217769812,0.945,0.745,0.709,0.69,0.728
H+L,29,0.0,0.18354766305036296,0.948,0.761,0.685,0.68,0.69
H+L,30,0.0,0.20028953713198328,0.94,0.752,0.692,0.682,0.702
H+L,31,0.0,0.18439573666740924,0.945,0.744,0.713,0.706,0.72
H+L,32,0.0,0.183302602778794,0.948,0.752,0.691,0.704,0.678
H+L,33,0.0,0.18004302662143393,0.957,0.764,0.696,0.696,0.696
H+L,34,0.0,0.17404093479702157,0.943,0.756,0.701,0.696,0.706
H+L,35,0.0,0.18465183018083015,0.943,0.759,0.679,0.666,0.692
H+L,36,0.0,0.17533581633115547,0.952,0.766,0.708,0.72,0.696
H+L,37,0.0,0.16577657447619734,0.952,0.76,0.694,0.696,0.692
H+L,38,0.0,0.1731312262744765,0.948,0.754,0.698,0.704,0.692
H+L,39,0.0,0.16581521148327738,0.955,0.758,0.704,0.694,0.714
H+L,40,0.0,0.1652155202064972,0.951,0.764,0.714,0.72,0.708
H+L,41,0.0,0.15972802290528781,0.957,0.767,0.715,0.714,0.716
H+L,42,0.0,0.15064995558492753,0.954,0.765,0.703,0.708,0.698
H+L,43,0.0,0.15358507498453788,0.961,0.771,0.689,0.694,0.684
H+L,44,0.0,0.14448728324602383,0.96,0.759,0.7,0.712,0.688
H+L,45,0.0,0.15303221342860723,0.96,0.772,0.695,0.7,0.69
H+L,46,0.0,0.16125694756682452,0.961,0.775,0.692,0.71,0.674
H+L,47,0.0,0.15127322523495462,0.956,0.784,0.71,0.704,0.716
H+L,48,0.0,0.15179224198180763,0.959,0.76,0.708,0.704,0.712
H+L,49,0.0,0.1462787310624558,0.952,0.764,0.708,0.708,0.708
H+L,50,0.0,0.14149555248359758,0.957,0.757,0.702,0.686,0.718
H+L,51,0.30069064505010495,0.1441252659358844,0.967,0.781,0.706,0.714,0.698
H+L,52,0.3027598545399327,0.12720464142616786,0.967,0.756,0.702,0.706,0.698
H+L,53,0.3061994622449589,0.12802665833249224,0.959,0.762,0.687,0.688,0.686
H+L,54,0.3109958936049791,0.12515574024104156,0.954,0.764,0.684,0.684,0.684
H+L,55,0.31713021929669627,0.1328311507525224,0.959,0.787,0.699,0.706,0.692
H+L,56,0.324578229939112,0.13035986959159127,0.968,0.768,0.693,0.694,0.692
H+L,57,0.33331053163689317,0.13173563167004285,0.959,0.78,0.697,0.702,0.692
H+L,58,0.34329266198464775,0.1337863093505047,0.96,0.768,0.702,0.708,0.696
H+L,59,0.3544852260742947,0.11593525031507576,0.962,0.787,0.711,0.706,0.716
H+L,60,0.36684405196876835,0.11726059428994366,0.96,0.764,0.708,0.718,0.698
H+L,61,0.3803203650284738,0.11219403235252963,0.961,0.752,0.702,0.704,0.7
H+L,62,0.39486098040250595,0.16153742495314602,0.963,0.77,0.684,0.682,0.686
H+L,63,0.41040851292495895,0.11741293658803709,0.968,0.77,0.693,0.702,0.684
H+L,64,0.4269016035879586,0.12642601843870319,0.958,0.763,0.704,0.706,0.702
H+L,65,0.44427516169763437,0.10621783633351979,0.963,0.762,0.688,0.696,0.68
H+L,66,0.4624606217573512,0.10663670598734654,0.961,0.77,0.698,0.714,0.682
H+L,67,0.48138621406439963,0.10670755097968303,0.967,0.788,0.709,0.716,0.702
H+L,68,0.5009772479522245,0.10798301309066159,0.962,0.767,0.694,0.7,0.688
H+L,69,0.5211564065603627,0.10047660309819693,0.971,0.783,0.706,0.72,0.692
H+L,70,0.5418440519687684,0.11824778318419174,0.966,0.787,0.699,0.7,0.698
H+L,71,0.5629585394923007,0.13013835665707274,0.968,0.781,0.692,0.698,0.686
H+L,72,0.5844165398949963,0.09907705021468284,0.965,0.775,0.698,0.708,0.688
H+L,73,0.6061333682524934,0.09234220260866892,0.968,0.777,0.702,0.726,0.678
H+L,74,0.6280233181647403,0.09362293056897017,0.974,0.755,0.712,0.728,0.696
H+L,75,0.6499999999999999,0.09894415715781839,0.966,0.766,0.68,0.68,0.68
H+L,76,0.6719766818352597,0.09694014098587672,0.966,0.774,0.705,0.702,0.708
H+L,77,0.6938666317475064,0.09536988837179161,0.97,0.763,0.689,0.7,0.678
H+L,78,0.7155834601050037,0.09243701807154608,0.968,0.766,0.678,0.698,0.658
H+L,79,0.7370414605076991,0.0843153147027223,0.964,0.772,0.688,0.708,0.668
H+L,80,0.7581559480312315,0.08708000230996156,0.97,0.776,0.703,0.704,0.702
H+L,81,0.7788435934396372,0.08601139243864703,0.964,0.777,0.694,0.71,0.678
H+L,82,0.7990227520477754,0.09179678547367334,0.977,0.773,0.713,0.728,0.698
H+L,83,0.8186137859356004,0.08786684436631573,0.971,0.784,0.692,0.696,0.688
H+L,84,0.8375393782426488,0.08495474637549252,0.972,0.778,0.693,0.698,0.688
H+L,85,0.8557248383023655,0.12178644771922947,0.957,0.769,0.71,0.724,0.696
H+L,86,0.8730983964120413,0.08983367392916328,0.977,0.78,0.699,0.708,0.69
H+L,87,0.889591487075041,0.07227623918791992,0.98,0.797,0.707,0.714,0.7
H+L,88,0.905139019597494,0.07820161615598276,0.973,0.786,0.705,0.706,0.704
H+L,89,0.9196796349715262,0.08214034560926112,0.978,0.773,0.701,0.708,0.694
H+L,90,0.9331559480312315,0.07105938106899701,0.973,0.787,0.705,0.73,0.68
H+L,91,0.945514773925705,0.08782645603341867,0.972,0.793,0.724,0.734,0.714
H+L,92,0.9567073380153521,0.07152611588283508,0.965,0.794,0.698,0.718,0.678
H+L,93,0.9666894683631067,0.07355768963744577,0.971,0.771,0.692,0.7,0.684
H+L,94,0.9754217700608878,0.0806301225788559,0.967,0.778,0.709,0.73,0.688
H+L,95,0.9828697807033038,0.06858209917559852,0.977,0.774,0.7,0.7,0.7
H+L,96,0.9890041063950208,0.06888777261284258,0.966,0.754,0.705,0.716,0.694
H+L,97,0.993800537755041,0.0667089629506278,0.973,0.787,0.707,0.7,0.714
H+L,98,0.9972401454600672,0.06469770124937985,0.968,0.756,0.695,0.688,0.702
H+L,99,0.999309354949895,0.08644340665451265,0.967,0.778,0.702,0.71,0.694
H+L,100,1.0,0.05999790815203577,0.965,0.783,0.704,0.712,0.696
